id,objet,montant,codecpv,procedure,nature,datenotification,dureemois,formeprix,acheteur_id,acheteur_nom,titulaire_id_1,titulaire_denominationsociale_2,offresrecues,lieuexecution_nom,lieuexecution_code,lieuexecution_typecode,source
20232023180000,FOURNITURE BORNES ESCAMOTABLES,1200000.0,31224500-7,Appel d'offres ouvert,Accord-cadre,2023-12-15,36,Révisable,21640483000012,,53170199300036,,,SAINT JEAN DE LUZ,,,data.gouv.fr_pes
202475000700,Lot 7 Platrerie peinture,52492.37,45000000-7,Procédure adaptée,Marché,2023-12-15,14,Ferme,20007159500132,,31543485200234,,,Poligny,,,data.gouv.fr_pes
202475000200,Lot 2 Maconnerie gros oeuvre,43829.14,45000000-7,Procédure adaptée,Marché,2023-12-15,14,Révisable,20007159500132,,39836779700014,,,Poligny,,,data.gouv.fr_pes
2023M23588S03,M23588S - MS036 - LOT 1 - TRAVAUX ENFOUISSEMENT ET REQUALIFICATION RUE CHATEAU GAILLARD A ORLEANS,1571000.0,45112500-0,Appel d'offres ouvert,Marché subséquent,2023-12-15,24,Révisable,24450046800040,,77559249600258,,,ORLEANS CEDEX 1,,,data.gouv.fr_pes
249891931,"Services de télécommunications de la Ville de Saint-Martin-de-Crau regroupant les services de téléphonie fixe, d'accès Internet, et de téléphonie mobile.: Lot 1: Services de téléphonie fixe et d'accès internet",70000.0,64210000-1,Procédure adaptée,Marché,2023-12-15,24,Unitaire,21130097500011,,34305956400959,,2.0,,,,e-marchespublics
2023942-700,RESTRUCTURATION BATIMENTS ECOLE JAURES LOT 7 EQUIPEMENT DES OFFICES DE SELF,65958.0,39220000-0,Procédure adaptée,Marché,2023-12-15,16,Ferme,21930050600017,,82044278800015,,,NEUILLY SUR MARNE,,,data.gouv.fr_pes
2023-1800,Travaux de branchement et de remise à la côte sur le réseau d'assainissement existant,600000.0,45232410-9,Procédure adaptée,Accord-cadre,2023-12-15,48,Révisable,24840016000094,,50857007400031,,,Camaret-sur-Aigues,,,data.gouv.fr_pes
2023M23-072 L200,M23-072VDC L2 FACADES,1453450.85,45443000-4,Procédure adaptée,Marché,2023-12-15,6,Révisable,21360044800012,,68204083700960,AFD ALUMINIUM FABRICATION,,CHATEAUROUX CEDEX,,,data.gouv.fr_pes
202398506800,Aménagement de la Crèche intercommunale de Moustiers-Sainte-Marie: Lot 7: Menuiseries bois,36073.0,44220000-8,Procédure adaptée,Marché,2023-12-15,8,Révisable,20006743700018,,94851422900012,,,MOUSTIERS Sainte MARIE,,,e-marchespublics
2023942-105,RESTRUCTURATION DES BATIMENTS DE L ECOLE ELEMENTAIRE JEAN JAURES  LOT 1 DESAMIANTAGE GROS OEUVRE MACONNERIE VRD,578000.0,45262660-5,Procédure adaptée,Marché,2023-12-15,16,Ferme,21930050600017,,32708682300041,,,NEUILLY SUR MARNE,,,data.gouv.fr_pes
20232306902,ARCHIVES MUNICIPALES - RENOVATION DE LA CLIMATISATION,229899.11,45331230-7,Procédure adaptée,Marché,2023-12-15,4,Révisable,21570463600012,,45650053700018,,,METZ CEDEX 01,,,data.gouv.fr_pes
202397588600,Création d'une escape box - SoudageUn outil dédié à l'orientation et à la découverte des métiers liés aux métaux et à la soudure,21800.0,80000000-4,Procédure adaptée,Marché,2023-12-15,4,Ferme et actualisable,20009118900015,,84998656700014,,,Normandie,,,e-marchespublics
202323PI06L200,ACCOMPAGNEMENT/COACHING DES EQUIPES,409305.0,75310000-2,Procédure adaptée,Marché,2023-12-15,36,Révisable,20006942500011,,43288312200033,,,AVRANCHES,,,data.gouv.fr_pes
2023202390500,MISSIONS DE COORDINATION EN MATIERE DE SECURITE ET PROTECTION DE LA SANTE - SPS,80000.0,71317210-8,Procédure adaptée,Accord-cadre,2023-12-15,48,Révisable,24120018700177,,50774163500019,,,RODEZ CEDEX 9,,,data.gouv.fr_pes
2023A237119M0600,Acquisition de mobilier d'accueil,46119.99,39130000-2,Procédure adaptée,Marché,2023-12-15,4,Ferme,21974002400019,,38218321800066,,,BRAS PANON,,,data.gouv.fr_pes
202320231700500,LOT 5 : MENUISERIE ALUMINIUM,80000.0,45421000-4,Procédure adaptée,Accord-cadre,2023-12-15,1,Ferme,21974004000015,,43890581200022,,,ETANG-SALE,,,data.gouv.fr_pes
202320231700900,LOT 9 : REVÊTEMENT SOUPLE,70000.0,45432111-5,Procédure adaptée,Accord-cadre,2023-12-15,1,Ferme,21974004000015,,50128468100027,,,ETANG-SALE,,,data.gouv.fr_pes
202300800,Travaux d'amégement des berges du Trieux - Lot no1 VRD/Maçon,184840.52,45262522-6,Procédure adaptée,Marché,2023-12-15,13,Ferme,21220070300016,,32933888301078,,,GUINGAMP,,,data.gouv.fr_pes
2023259410000,"23_2594_1_00 - Evolution, maintenance, assistance et prestations associées du système de gestion financière Grand Angle (GDA)",1600000.0,72267000-4,Marché négocié sans publicité ni mise en concurrence préalable,Accord-cadre,2023-12-15,49,Révisable,22910228000018,,70204275500554,,,EVRY COURCOURONNES,,,data.gouv.fr_pes
20235900,Fournitures de vêtements et d'équipements professionnels pour les agents de la Ville de Châteaurenard - n°2023-59-F-C-SM: Lot 1: Vêtements et équipements professionnels - Mairie T,120000.0,18100000-0,Procédure adaptée,Marché,2023-12-15,48,Révisable,21130027200013,,43793802000025,,,CHATEAURENARD,,,e-marchespublics
20232023T0000100,"Marché - 3 lots n°23-008 / 23-009 / 23-010 - Code CPV Principal : 45112710  - Berges du Trieux Guingamp : Aménagement de cheminement en grave stabilisé, de ponceaux en platelage bois, création d’une passerelle - Lot n° 1 : VRD - Maçonnerie - CPV du lot n°",184840.52,45262522-6,Procédure adaptée,Marché,2023-12-15,5,Ferme,21220070300016,,32933888301078,,,(22) Côtes-d'Armor,,,megalis-bretagne
20232024T0000200,La présente consultation a pour objet des travaux qui consistent au remplacement de l’éclairage existant dans la salle omnisport par des luminaires LED et son système de pilotage.,67000.0,45311200-2,Procédure adaptée,Marché,2023-12-15,6,Révisable,21350281800247,,37868338700054,,,(35) Ille-et-Vilaine,,,megalis-bretagne
2024AS2200,ASSURANCE DOMMAGES AUX BIENS,91688.53,66515000-3,Appel d'offres ouvert,Marché,2023-12-15,60,Ferme,21590008500014,,38398762500019,,,ANICHE,,,data.gouv.fr_pes
202301400,Prestations de transports urbains et routiers pour les besoins de la commune d'etaples-sur-mer et du ccas d'etaples-sur-mer (en groupement de commandes),164000.0,60100000-9,Procédure adaptée,Marché,2023-12-15,24,Révisable,21620318200011,,61632035400064,,,ETAPLES SUR MER,,,e-marchespublics
20232300023 0100,Lot 1 Location chargeuse puissance 80-110 cv,80000.0,34144710-8,Procédure adaptée,Accord-cadre,2023-12-15,48,Révisable,21740208000014,,47748554400019,,,PASSY,,,data.gouv.fr_pes
249966829,Marché de fleurissement communal 2024: Lot 9 : Arbustes et grimpants,8018.0,03451000-6,Procédure adaptée,Marché,2023-12-15,12,Unitaire,21630063200017,,48206381500013,,8.0,,,,e-marchespublics
2023S0013-300,PRESTATIONS D'ASSURANCES GROUPEMENT DE COMMANDES LOT 3 FLOTTE AUTOMOBILE,282768.67,66000000-0,Appel d'offres ouvert,Marché,2023-12-15,60,Ferme,24350073300114,,83381722400029,,,La Chapelle-aux-Filtzméens,,,data.gouv.fr_pes
2023S0013-400,PRESTATIONS D'ASSURANCES GROUPEMENT DE COMMANDES LOT 4 ASSURANCES RISQUES STATUTAIRES,349048.79,66000000-0,Appel d'offres ouvert,Marché,2023-12-15,60,Ferme,24350073300114,,31124863700804,,,La Chapelle-aux-Filtzméens,,,data.gouv.fr_pes
20232023-0160100,LOT01 - VRD/ AMENAGEMENT PAYSAGER,159799.6,45112500-0,Procédure adaptée,Marché,2023-12-15,8,Révisable,21310291600011,,39844106300029,,,Léguevin,,,data.gouv.fr_pes
202423013200,PRESTATION D AUTO ECOLE A CARACTERE SOCIAL A DESTINATION DES BENEFICIAIRES DU RSA,370500.0,80411000-8,Procédure adaptée,Accord-cadre,2023-12-15,36,Ferme,22650001500012,,48095367800038,,,Hautes-Pyrénées,,,data.gouv.fr_pes
2023T01-00100,RENOVATION IMMEUBLE BIBAL-GROS OUVRE ET RESEAUX,98079.5,45223220-4,Procédure adaptée,Marché,2023-12-15,13,Révisable,21120268400018,,51290871600016,,,SENERGUES,,,data.gouv.fr_pes
2410076736,MARCHE DE SERVICE DE MAINTENANCE CURATIVE ET PREVENTIVE DE TYPE MECANIQUE ET CARROSSERIE POUR LES VEHICULES DE LA RTA: Lot 6: Maintenance préventive de type mécanique pour l'en,30000.0,50113100-1,Procédure adaptée,Marché,2023-12-15,12,Unitaire,78018581500013,,49470569200023,,2.0,,,,e-marchespublics
202430183300,PRESTATIONS HOTELIERES DANS LE CADRE DE L HEBERGEMENT DES MINEURS NON ACCOMPAGNES LOT 1 HOTELS SITUES A BESANCON ET SON AGGLOMERATION,3000000.0,55110000-4,Procédure adaptée,Accord-cadre,2023-12-15,48,Révisable,22250001900013,,82107552000014,SARL IRIS 2,,LE DOUBS,,,data.gouv.fr_pes
20232023-0160800,LOT08 - MUR D'ESCALADE,81000.0,37535291-3,Procédure adaptée,Marché,2023-12-15,8,Révisable,21310291600011,,34432740800029,,,Léguevin,,,data.gouv.fr_pes
20232023-04-L500,LOT 5 - 5 CLOISONS-DOUBLAGE-FAUX PLAFONDS- EXTENSION DU CENTRE PETITE ENFANCE INTERCOMMUN,55551.23,85312110-3,Procédure adaptée,Marché,2023-12-15,10,Ferme et actualisable,24600091300052,,52712074500015,,,Lachapelle-aux-Pots,,,data.gouv.fr_pes
20232023-04L1000,LOT 10 - ELECTRICITE - EXTENSION DU CENTRE PETITE ENFANCE INTERCOMMUN,52916.23,85312110-3,Procédure adaptée,Marché,2023-12-15,10,Ferme et actualisable,24600091300052,,35620029500216,,,Lachapelle-aux-Pots,,,data.gouv.fr_pes
2023MARCHE0900,INVESTISSEMENT FORESTIER - PROGRAMME 2022 - LOT 3 - H39 - CASTELLI,42500.0,45111220-6,Procédure adaptée,Marché,2023-12-15,2,Ferme et actualisable,25830155500029,,40786695300018,,,Fréjus,,,data.gouv.fr_pes
2023MS5300,PRESTATIONS D ASSURANCES - 2023-SIEEENMS53 LOT 1 ASSURANCE DES DOMMAGES AUX BIENS ET DES RISQUES ANNEXES,774200.0,66000000-0,Appel d'offres ouvert,Marché,2023-12-15,48,Révisable,25580118500018,,39366658100011,,,NIEVRE,,,data.gouv.fr_pes
2023230310100,AMO RESEAU TRANSPORTS,59000.0,71336000-2,Procédure adaptée,Marché,2023-12-15,16,Révisable,24350074100232,,49940235200037,,,REDON,,,data.gouv.fr_pes
202323MT061L1,Travaux d'aménagement paysager du Parc des Quatre saisons à Plaisir (Lot 1: Démolitions - Terrassements - VRD),683587.0,45112500-0,Procédure adaptée,Marché,2023-12-15,5,Forfaitaire,21780490500016,,41239753100069,,3.0,,,,e-marchespublics
202323CC01800200,ASSURANCE DES VEHICULES A MOTEUR,108587.0,66510000-8,Procédure adaptée,Marché,2023-12-15,1,Révisable,24850062100011,,30130960500410,,,LES HERBIERS,,,data.gouv.fr_pes
2023942-104,RESTRUCTURATION DES BATIMENTS DE L ECOLE ELEMENTAIRE JEAN JAURES  LOT 1 DESAMIANTAGE GROS OEUVRE MACONNERIE VRD,578000.0,45262660-5,Procédure adaptée,Marché,2023-12-15,16,Ferme,21930050600017,,32708682300041,,,NEUILLY SUR MARNE,,,data.gouv.fr_pes
20232023T0004500,"Accord cadre multi attributaires à marchés subséquents\npour des travaux relatifs à la réhabilitation, d'installations de traitement\nou de pompage d'eaux",1000000.0,45232410-9,Procédure adaptée,Accord-cadre,2023-12-15,48,,20006592800018,,32977811200014,,,(22) Côtes-d'Armor,,,megalis-bretagne
2024202402L0100,ASSURANCE DOMMAGES AUX BIENS - GROUPAMA CONTRAT N°009130490111,360000.0,66516000-0,Appel d'offres ouvert,Marché,2023-12-15,48,Ferme et actualisable,20007194200011,,38104368601023,,,BELLAC,,,data.gouv.fr_pes
2024-QR-00500,LOT 5 - PLATRERIE-ISOLATION-PEINTURE - CONSTRUCTION VESTIAIRES ET UNE SALLE RECEPTION STADE LABORDERIE,85000.0,45212224-2,Procédure adaptée,Marché,2023-12-15,12,Révisable,21871870800017,,48245791800035,NONY PEINTURES,,STADE MARCEL DE LABORDERIE - SAINT-YRIEIX,,,data.gouv.fr_pes
2024004-0100,AMENAGEMENT ET EXTENSION DE LA MEDIATHEQUE,136414.84,45262522-6,Procédure adaptée,Marché,2023-12-15,9,Ferme,21610061000015,,69715004300027,,,Bretoncelles,,,data.gouv.fr_pes
2024074000,La fourniture et la livraison de produits surgelés,35690076.0,15896000-5,Appel d'offres ouvert,Accord-cadre,2023-12-15,24,Révisable,26690025700046,,38500623400137,,,Rhone,,,data.gouv.fr_pes
2024073902,La fourniture et la livraison de produits surgelés,9070893.79,15896000-5,Appel d'offres ouvert,Accord-cadre,2023-12-15,24,Révisable,26690025700046,,34067077700044,,,Rhone,,,data.gouv.fr_pes
2023COM611630100,AMENAGEMENT DES ESPACES PUBLICS POUR UN PROJET DE CONSTRUCTION DE 24 LOGEMENTS,344752.1,45112500-0,Procédure adaptée,Marché,2023-12-15,13,Ferme,21610163400014,,42884223100022,,,LA FERRIERE AUX ETANGS,,,data.gouv.fr_pes
2023S08sepL1,Prestations de nettoyage des locaux de la Communauté de Communes : Lot 1 : Nettoyage des Structures Petite Enfance,189923.0,90911200-8,Appel d'offres ouvert,Marché,2023-12-15,48,Mixte,20007011800019,,37884819600069,,2.0,,,,e-marchespublics
2023S08sepL2,Prestations de nettoyage des locaux de la Communauté de Communes : Lot 2 : Nettoyage du gymnase Visiosport,140000.0,90911200-8,Appel d'offres ouvert,Marché,2023-12-15,48,Unitaire,20007011800019,,37884819600069,,2.0,,,,e-marchespublics
2023S08sepL6,Prestations de nettoyage des locaux de la Communauté de Communes : Lot 6 : Nettoyage des Gîtes de la Calonne,80000.0,90911100-7,Appel d'offres ouvert,Marché,2023-12-15,48,Unitaire,20007011800019,,37884819600069,,1.0,,,,e-marchespublics
202430028000,"MARCHE PUBLIC GLOBAL DE PERFORMANCE ASSOCIANT LA MODERNISATION, LA RENOVATION, L&#8217;EXPLOITATION, LA MAINTENANCE ET LA GESTION DES INSTALLATIONS D&#8217;ECLAIRAGE PUBLIC ET DES INSTALLATIONS CONNEXES DE LA VILLE DE LUNEVILLE",4474663.9,45316110-9,Procédure adaptée,Marché,2023-12-15,96,Révisable,21540329600019,,34279309800175,,,LUNEVILLE,,,data.gouv.fr_pes
2023M23588S01,M23588S - MS036 - LOT 1 - TRAVAUX ENFOUISSEMENT ET REQUALIFICATION RUE CHATEAU GAILLARD A ORLEANS,1571000.0,45112500-0,Appel d'offres ouvert,Marché subséquent,2023-12-15,24,Révisable,24450046800040,,77559249600258,,,ORLEANS CEDEX 1,,,data.gouv.fr_pes
202320230157-P00,LOT 9-VOIRIE EN BETON DE LA RUE BAMCOLO,163540.0,45247120-7,Appel d'offres ouvert,Marché,2023-12-15,18,Ferme et actualisable,20000883700011,,82205106600014,,,MAMOUDZOU,,,data.gouv.fr_pes
202323CC01500100,EXPERTISE FINANCIERE FISCALE ET BUDGETAIRE CCPH,180000.0,66171000-9,Procédure adaptée,Accord-cadre,2023-12-15,1,Ferme,24850062100011,,45106043800020,,,LES HERBIERS,,,data.gouv.fr_pes
2023O512300,Groupe scolaire Kennedy - construction LOT 12,1290000.0,45331000-6,Appel d'offres ouvert,Marché,2023-12-15,20,Révisable,21690123100011,,68378012600051,,,A Lyon,,,data.gouv.fr_pes
2023I851 LOT 101,TRAVAUX DE VRD BETON,3600000.0,45233142-6,Appel d'offres ouvert,Accord-cadre,2023-12-15,24,Révisable,21971113200015,,79476371400019,,,LE GOSIER,,,data.gouv.fr_pes
202320230155-P00,LOT 6-VOIRIE EN BETON DU CARREFOUR MROWAHANDRA,40360.0,45247120-7,Appel d'offres ouvert,Marché,2023-12-15,18,Ferme et actualisable,20000883700011,,79895464000016,,,MAMOUDZOU,,,data.gouv.fr_pes
202320230152-P00,LOT 2-VOIRIE EN BETON DE L'IMPENSSE HANADJI,132515.0,45247120-7,Appel d'offres ouvert,Marché,2023-12-15,18,Ferme et actualisable,20000883700011,,90356580200019,,,MAMOUDZOU,,,data.gouv.fr_pes
202320231700800,LOT 8 : PEINTURE,100000.0,45442100-8,Procédure adaptée,Accord-cadre,2023-12-15,1,Ferme,21974004000015,,50999972800033,,,ETANG-SALE,,,data.gouv.fr_pes
20232023078BG00,LOT10 PLOMBERIE UT NORD BAIS,52997.51,45330000-9,Procédure adaptée,Marché,2023-12-15,12,Révisable,20003329800015,,75260089000012,,,EVRON,,,data.gouv.fr_pes
2023VOIEVERTE200,Amnagement d'une voie verte sur le territoire de Charlieu Belmont Communauté : Lot no2 : Espaces Verts - Mobilier,290737.29,90611000-3,Procédure adaptée,Marché,2023-12-15,13,Révisable,20003520200015,,31932691400029,,,Charlieu,,,data.gouv.fr_pes
20232306909,ARCHIVES MUNICIPALES - RENOVATION DE LA CLIMATISATION,229899.11,45331230-7,Procédure adaptée,Marché,2023-12-15,4,Révisable,21570463600012,,45650053700018,,,METZ CEDEX 01,,,data.gouv.fr_pes
2023CA009-200,ELEMENTS RESEAU,60000.0,30200000-1,Procédure adaptée,Accord-cadre,2023-12-15,48,Ferme,20007106600191,,39265548600042,,,SAINT DIE DES VOSGES,,,data.gouv.fr_pes
20232023M3800,"Prestation de maitrise d'oeuvre pour la conception et l'aménagement de ""l'espace entreprendre""",61031.25,71000000-8,Procédure adaptée,Marché,2023-12-15,7,Ferme et actualisable,20001865300010,,40532548100035,GAMMA INGENIERIE,,POINTE A PITRE,,,data.gouv.fr_pes
2023TB1100,REHAB CHARPENTE COUVERTURE CS TAPIE,100656.0,45261000-4,Procédure adaptée,Marché,2023-12-15,4,Ferme et actualisable,21470001500016,,42505573800016,,,AGEN,,,data.gouv.fr_pes
2024TAD LOT0100,Transport à la demande Lot 1,50000.0,60130000-8,Procédure adaptée,Marché,2023-12-15,18,Ferme et actualisable,20006636300017,,30956733700063,,,Luzenac,,,data.gouv.fr_pes
249966763,Marché de fleurissement communal 2024: Lot 3 : Plantes bisannuelles,1334.0,03451000-6,Procédure adaptée,Marché,2023-12-15,12,Unitaire,21630063200017,,41208378400014,,8.0,,,,e-marchespublics
202323M00100,MOE CONSTRUCTION CIS AUTERIVE 23M001,153300.0,71200000-0,Procédure adaptée,Marché,2023-12-15,48,Révisable,28310001400028,,39970864300115,AGENCE STUDIO K,,AUTERIVE,,,data.gouv.fr_pes
2023M23587S00,M23587S - MS039 - LOT 3 : TVX AMENAGEMENTS PAYSAGERS REQUALIFICATION DES RUES JEAN JAURES ET DENIS PAPIN - QUARTIER VILLEVAUDE FLEURY LES AUBRAIS,77790.0,45112700-2,Appel d'offres ouvert,Marché subséquent,2023-12-15,27,Révisable,24450046800040,,33960966101590,,,FLEURY LES AUBRAIS,,,data.gouv.fr_pes
202323U210000,PRELEVEMENTS ET ANALYSES DES REJETS AQUEUX,41280.0,71600000-4,Procédure adaptée,Marché,2023-12-15,36,Ferme,25290187100043,,50260975300012,,,Concarneau,,,data.gouv.fr_pes
202323_04900,MAINTENANCE ET DEPANNAGE DES ASCENSEURS ET APPAREILS ELEVATEURS,63004.0,50750000-7,Procédure adaptée,Accord-cadre,2023-12-15,48,Révisable,21910692900017,,72202474202665,,,LES ULIS,,,data.gouv.fr_pes
202323M0053L0000,TRANSPORT ENLEVEMENT ET DESTRUCTION VEHICULES MIS EN FOURRIERE,60000.0,90513200-8,Procédure adaptée,Accord-cadre,2023-12-15,48,Révisable,21060027600013,,3702063300014,,,CAGNES SUR MER,,,data.gouv.fr_pes
20232023122L0100,LOT 1 - SYSTEME DE RECUPERATION D'ENERGIE SUR LES EAUX GRISES DES BASSINS,77790.1,09323000-9,Procédure adaptée,Marché,2023-12-15,13,Révisable,24120018700193,,81231285800010,,,RODEZ CEDEX 9,,,data.gouv.fr_pes
2023942-200,RESTRUCTURATION ECOLE ELEM JEAN JAURES LOT 2 MENUISERIE BOIS,57520.0,45421150-0,Procédure adaptée,Marché,2023-12-15,16,Ferme,21930050600017,,78558352700045,,,NEUILLY SUR MARNE,,,data.gouv.fr_pes
20232023S0005600,ETUDE PREOPERATIONNELLE OPAH-RU,85975.0,71241000-9,Procédure adaptée,Marché,2023-12-15,16,Révisable,20006908600011,,34758223100358,,,(22) Côtes-d'Armor,,,megalis-bretagne
20232023S0001700,Prélèvements et analyses des rejets aqueux pour la conformité réglementaire des installations de VALCOR,41280.0,71600000-4,Procédure adaptée,Marché,2023-12-15,36,Ferme,25290187100043,,50260975300012,,,(29) Finistère,,,megalis-bretagne
202397324700,SPECTROMETRE DE MASSE,268629.0,38000000-5,Appel d'offres ouvert,Marché,2023-12-15,60,Ferme et actualisable,77574110100031,,48751377200037,,,GUSTAVE ROUSSY,,,e-marchespublics
